Gene_name,Com_Genes_No
TYW1B,2958
MAZ,2961
UTP23,2959
PPME1,2959
AKAP8,2960
EIF3CL,2960
KLHL32,2960
CCDC88C,2961
MTRNR2L11,2959
PSG7,2960
GPCPD1,2961
FGF12,2960
PABPC1L2A,2960
BRF2,2962
ZBED6CL,2959
CCDC187,2961
MORC1,2959
CRYBG1,2961
ENSG00000275778,2962
IFNA16,2962
SH3BGRL2,2961
BIN1,2959
NRIP2,2959
LRP6,2962
HP1BP3,2961
C7orf50,2961
BCHE,2961
HOXD13,2958
DDX50,2961
PAXX,2961
RHNO1,2959
EARS2,2960
PIGC,2960
EMC8,2961
NOL11,2959
SLC6A17,2961
RBM12,2962
ARL1,2960
ABR,2961
NOD1,2961
TOMM20L,2957
PSMA3,2959
MROH7,2959
NAA16,2960
MIA,2962
ZNF620,2962
NCAN,2962
EPGN,2960
CSN3,2960
MAGOH,2961
ENSG00000260007,2961
ITPRID2,2961
FAM171A1,2960
FGD5,2961
ZCWPW2,2960
ERICH4,2961
ATG10,2957
PCBP3,2962
CA7,2960
ZNF350,2961
ELFN1,2962
VGLL1,2960
COQ7,2960
PRDM4,2959
LRRC26,2960
IFT43,2961
ILKAP,2961
ZNF439,2961
R3HDM2,2962
CHP1,2962
ZC2HC1B,2959
ZC3H12B,2962
CA2,2959
WDR12,2960
PTPRA,2961
C6orf52,2961
ZNF568,2959
MVB12A,2962
TNFSF13,2959
OXA1L,2960
COA6,2958
SNRNP25,2960
CAB39L,2958
GLT1D1,2960
FAM170A,2961
ZG16,2961
RFPL4A,2960
AKAIN1,2961
TGM4,2960
GAD2,2960
GNG5P2,2959
SYDE1,2959
